,index,name
252,258,Porte Maillot
253,166,Les Sablons
254,252,Pont de Neuilly
255,102,Esplanade de la Défense
256,252,Pont de Neuilly
257,102,Esplanade de la Défense
258,130,Grande Arche de la Défense
259,102,Esplanade de la Défense
260,252,Pont de Neuilly
261,166,Les Sablons
262,258,Porte Maillot
263,166,Les Sablons
264,258,Porte Maillot
265,6,Argentine
266,55,"Charles de Gaulle, Étoile"
267,57,"Charles de Gaulle, Étoile"
268,56,"Charles de Gaulle, Étoile"
269,362,Victor Hugo
270,256,Porte Dauphine
271,362,Victor Hugo
272,256,Porte Dauphine
273,256,Porte Dauphine
274,362,Victor Hugo
275,256,Porte Dauphine
276,362,Victor Hugo
277,56,"Charles de Gaulle, Étoile"
278,362,Victor Hugo
279,256,Porte Dauphine
280,362,Victor Hugo
281,256,Porte Dauphine
282,362,Victor Hugo
283,56,"Charles de Gaulle, Étoile"
284,57,"Charles de Gaulle, Étoile"
285,150,Kléber
286,30,Boissière
287,354,Trocadéro
288,230,Passy
289,354,Trocadéro
290,230,Passy
291,26,Bir-Hakeim
292,98,Dupleix
293,155,"La Motte Picquet, Grenelle"
294,156,"La Motte Picquet, Grenelle"
295,371,École Militaire
296,156,"La Motte Picquet, Grenelle"
297,76,Commerce
298,111,Félix Faure
299,76,Commerce
300,111,Félix Faure
301,35,Boucicaut
302,172,Lourmel
303,240,Place Balard
304,172,Lourmel
305,35,Boucicaut
306,111,Félix Faure
307,76,Commerce
308,156,"La Motte Picquet, Grenelle"
309,371,École Militaire
310,156,"La Motte Picquet, Grenelle"
311,371,École Militaire
312,158,La Tour-Maubourg
313,138,Invalides
314,137,Invalides
315,51,"Champs Élysées, Clémenceau"
316,137,Invalides
317,138,Invalides
318,79,Concorde
319,79,Concorde
320,78,Concorde
321,175,Madeleine
322,78,Concorde
323,175,Madeleine
324,176,Madeleine
325,281,Pyramides
326,282,Pyramides
327,224,Opéra
328,225,Opéra
329,298,Richelieu Drouot
330,225,Opéra
331,223,Opéra
332,289,Quatre Septembre
333,38,Bourse
334,336,Sentier
335,336,Sentier
336,38,Bourse
337,336,Sentier
338,309,Réaumur Sébastopol
339,8,Arts et Métiers
340,350,Temple
341,8,Arts et Métiers
342,309,Réaumur Sébastopol
343,336,Sentier
344,38,Bourse
345,336,Sentier
346,309,Réaumur Sébastopol
347,309,Réaumur Sébastopol
348,309,Réaumur Sébastopol
349,336,Sentier
350,309,Réaumur Sébastopol
351,310,Réaumur Sébastopol
352,375,Étienne Marcel
353,310,Réaumur Sébastopol
354,375,Étienne Marcel
355,165,Les Halles
356,70,Châtelet
357,73,Cité
358,70,Châtelet
359,73,Cité
360,330,Saint-Michel
361,222,Odéon
362,323,Saint-Germain-des-Prés
363,334,Saint-Sulpice
364,323,Saint-Germain-des-Prés
365,334,Saint-Sulpice
366,323,Saint-Germain-des-Prés
367,222,Odéon
368,323,Saint-Germain-des-Prés
369,334,Saint-Sulpice
370,333,Saint-Placide
371,208,Montparnasse Bienvenue
372,209,Montparnasse Bienvenue
373,101,Edgar Quinet
374,293,Raspail
375,96,Denfert Rochereau
376,293,Raspail
377,96,Denfert Rochereau
378,95,Denfert Rochereau
379,210,Mouton-Duvernet
380,3,Alésia
381,262,Porte d'Orléans
382,3,Alésia
383,262,Porte d'Orléans
384,3,Alésia
385,210,Mouton-Duvernet
386,3,Alésia
387,262,Porte d'Orléans
388,3,Alésia
389,210,Mouton-Duvernet
390,95,Denfert Rochereau
391,292,Raspail
392,293,Raspail
393,96,Denfert Rochereau
394,324,Saint-Jacques
395,128,Glacière
396,83,Corvisart
397,243,Place d'Italie
398,83,Corvisart
399,243,Place d'Italie
400,216,Nationale
401,62,Chevaleret
402,216,Nationale
403,62,Chevaleret
404,287,Quai de la Gare
405,287,Quai de la Gare
406,62,Chevaleret
407,216,Nationale
408,216,Nationale
409,243,Place d'Italie
410,244,Place d'Italie
411,352,Tolbiac
412,184,Maison Blanche
413,260,Porte d'Italie
414,266,Porte de Choisy
415,261,Porte d'Ivry
416,237,Pierre Curie
417,179,Mairie d'Ivry
418,237,Pierre Curie
419,179,Mairie d'Ivry
420,237,Pierre Curie
421,261,Porte d'Ivry
422,237,Pierre Curie
423,261,Porte d'Ivry
424,266,Porte de Choisy
425,260,Porte d'Italie
426,184,Maison Blanche
427,352,Tolbiac
428,184,Maison Blanche
429,161,Le Kremlin-Bicêtre
430,364,"Villejuif, Léo Lagrange"
431,365,"Villejuif, P. Vaillant Couturier"
432,363,"Villejuif, Louis Aragon"
433,365,"Villejuif, P. Vaillant Couturier"
434,364,"Villejuif, Léo Lagrange"
435,161,Le Kremlin-Bicêtre
436,184,Maison Blanche
437,352,Tolbiac
438,244,Place d'Italie
439,242,Place d'Italie
440,243,Place d'Italie
441,83,Corvisart
442,243,Place d'Italie
443,242,Place d'Italie
444,46,Campo-Formio
445,329,Saint-Marcel
446,118,Gare d'Austerlitz
447,118,Gare d'Austerlitz
448,288,Quai de la Rapée
449,118,Gare d'Austerlitz
450,288,Quai de la Rapée
451,118,Gare d'Austerlitz
452,329,Saint-Marcel
453,46,Campo-Formio
454,46,Campo-Formio
455,329,Saint-Marcel
456,46,Campo-Formio
457,242,Place d'Italie
458,244,Place d'Italie
459,164,Les Gobelins
460,49,Censier Daubenton
461,164,Les Gobelins
462,49,Censier Daubenton
463,241,Place Monge
464,149,Jussieu
465,345,Sully Morland
466,254,Pont-Marie
467,71,Châtelet
468,71,Châtelet
469,70,Châtelet
470,68,Châtelet
471,67,Châtelet
472,173,"Louvre, Rivoli"
473,227,"Palais Royal, Musée du Louvre"
474,356,Tuileries
475,77,Concorde
476,78,Concorde
477,175,Madeleine
478,78,Concorde
479,175,Madeleine
480,176,Madeleine
481,281,Pyramides
482,69,Châtelet
483,71,Châtelet
484,255,Pont-Neuf
485,228,"Palais Royal, Musée du Louvre"
486,282,Pyramides
487,281,Pyramides
488,281,Pyramides
489,176,Madeleine
490,177,Madeleine
491,225,Opéra
492,224,Opéra
493,225,Opéra
494,298,Richelieu Drouot
495,299,Richelieu Drouot
496,304,"Rue Montmartre, Grands Boulevards"
497,303,"Rue Montmartre, Grands Boulevards"
498,32,Bonne Nouvelle
499,343,Strasbourg Saint-Denis
500,343,Strasbourg Saint-Denis
501,32,Bonne Nouvelle
502,343,Strasbourg Saint-Denis
503,314,République
504,313,République
505,140,Jacques Bonsergent
506,313,République
507,219,Oberkampf
508,297,Richard Lenoir
509,219,Oberkampf
510,297,Richard Lenoir
511,40,Bréguet-Sabin
512,17,Bastille
513,18,Bastille
514,16,Bastille
515,331,"Saint-Paul, Le Marais"
516,135,Hôtel de Ville
517,136,Hôtel de Ville
518,135,Hôtel de Ville
519,136,Hôtel de Ville
520,290,Rambuteau
521,7,Arts et Métiers
522,311,République
523,129,Goncourt
524,20,Belleville
525,283,Pyrénées
526,146,Jourdain
527,283,Pyrénées
528,146,Jourdain
529,146,Jourdain
530,283,Pyrénées
531,20,Belleville
532,129,Goncourt
533,20,Belleville
534,21,Belleville
535,75,Colonel Fabien
536,142,Jaurès
537,339,Stalingrad
538,151,La Chapelle
539,13,Barbès Rochechouart
540,151,La Chapelle
541,339,Stalingrad
542,340,Stalingrad
543,341,Stalingrad
544,341,Stalingrad
545,169,Louis Blanc
546,341,Stalingrad
547,300,Riquet
548,87,Crimée
549,82,Corentin-Cariou
550,87,Crimée
551,82,Corentin-Cariou
552,277,Porte de la Villette
553,10,"Aubervilliers-Pantin, Quatre Chemins"
554,108,Fort d'Aubervilliers
555,152,"La Courneuve, 8 Mai 1945"
556,108,Fort d'Aubervilliers
557,10,"Aubervilliers-Pantin, Quatre Chemins"
558,277,Porte de la Villette
559,82,Corentin-Cariou
560,87,Crimée
561,82,Corentin-Cariou
562,87,Crimée
563,300,Riquet
564,87,Crimée
565,82,Corentin-Cariou
566,87,Crimée
567,300,Riquet
568,341,Stalingrad
569,169,Louis Blanc
570,170,Louis Blanc
571,144,Jaurès
572,31,Bolivar
573,41,Buttes Chaumont
574,41,Buttes Chaumont
575,34,Botzaris
576,248,Place des Fêtes
577,247,Place des Fêtes
578,357,Télégraphe
579,247,Place des Fêtes
580,248,Place des Fêtes
581,280,Pré-Saint-Gervais
582,92,Danube
583,34,Botzaris
584,41,Buttes Chaumont
585,31,Bolivar
586,41,Buttes Chaumont
587,34,Botzaris
588,41,Buttes Chaumont
589,31,Bolivar
590,144,Jaurès
591,143,Jaurès
592,143,Jaurès
593,143,Jaurès
594,160,Laumière
595,226,Ourcq
596,270,Porte de Pantin
597,134,Hoche
598,374,Église de Pantin
599,29,"Bobigny-Pantin, Raymond Queneau"
600,28,"Bobigny, Pablo Picasso"
601,29,"Bobigny-Pantin, Raymond Queneau"
602,374,Église de Pantin
603,134,Hoche
604,270,Porte de Pantin
605,226,Ourcq
606,160,Laumière
607,143,Jaurès
608,340,Stalingrad
609,143,Jaurès
610,340,Stalingrad
611,339,Stalingrad
612,341,Stalingrad
613,169,Louis Blanc
614,63,Château Landon
615,63,Château Landon
616,123,Gare de l'Est
617,250,Poissonnière
618,44,Cadet
619,162,Le Peletier
620,59,"Chaussée d'Antin, La Fayette"
621,60,"Chaussée d'Antin, La Fayette"
622,299,Richelieu Drouot
623,60,"Chaussée d'Antin, La Fayette"
624,133,Havre Caumartin
625,132,Havre Caumartin
626,223,Opéra
627,289,Quatre Septembre
628,223,Opéra
629,132,Havre Caumartin
630,327,Saint-Lazare
631,326,Saint-Lazare
632,168,Liège
633,245,Place de Clichy
634,246,Place de Clichy
635,302,Rome
636,246,Place de Clichy
637,245,Place de Clichy
638,168,Liège
639,326,Saint-Lazare
640,168,Liège
641,245,Place de Clichy
642,168,Liège
643,245,Place de Clichy
644,153,La Fourche
645,131,Guy Môquet
646,272,Porte de Saint-Ouen
647,126,Garibaldi
648,182,Mairie de Saint-Ouen
649,48,Carrefour Pleyel
650,318,Saint-Denis-Porte de Paris
651,15,Basilique de Saint-Denis
652,319,Saint-Denis-Université
653,15,Basilique de Saint-Denis
654,318,Saint-Denis-Porte de Paris
655,48,Carrefour Pleyel
656,182,Mairie de Saint-Ouen
657,126,Garibaldi
658,182,Mairie de Saint-Ouen
659,126,Garibaldi
660,272,Porte de Saint-Ouen
661,131,Guy Môquet
662,153,La Fourche
663,39,Brochant
664,267,Porte de Clichy
665,180,Mairie de Clichy
666,112,"Gabriel Péri, Asnières-Gennevilliers"
667,180,Mairie de Clichy
668,267,Porte de Clichy
669,180,Mairie de Clichy
670,112,"Gabriel Péri, Asnières-Gennevilliers"
671,180,Mairie de Clichy
672,267,Porte de Clichy
673,39,Brochant
674,153,La Fourche
675,245,Place de Clichy
676,246,Place de Clichy
677,27,Blanche
678,239,Pigalle
679,5,Anvers
680,239,Pigalle
681,5,Anvers
682,5,Anvers
683,239,Pigalle
684,238,Pigalle
685,0,Abbesses
686,159,Lamarck Caulaincourt
687,147,Jules Joffrin
688,191,Marcadet Poissonniers
689,194,Marx Dormoy
690,276,Porte de la Chapelle
691,194,Marx Dormoy
692,191,Marcadet Poissonniers
693,147,Jules Joffrin
694,191,Marcadet Poissonniers
695,147,Jules Joffrin
696,159,Lamarck Caulaincourt
697,0,Abbesses
698,238,Pigalle
699,322,Saint-Georges
700,322,Saint-Georges
